"obj" "V2" "V3" "id"
"1" 1 0.298500000407857 0.801537064213199 1
"2" 1 0.305418802360275 0.783958927159912 1
"3" 1 0.296123498978853 0.790832510169162 1
"4" 1 0.29210749929106 0.77662164300333 1
"5" 1 0.299140272356879 0.789895534625566 1
"6" 1 0.288240987046856 0.764782633774059 1
"7" 1 0.295178092998447 0.779643828192448 1
"8" 1 0.296945583623125 0.782644610709972 1
"9" 1 0.28698851977573 0.765623945860075 1
"10" 1 0.294089585320037 0.789242702416768 1
"11" 2 0.279411754875163 0.690068575410705 1
"12" 2 0.278733871779644 0.678782164809876 1
"13" 2 0.26759564938255 0.701308334552765 1
"14" 2 0.274137149113032 0.714057915385354 1
"15" 2 0.283368223060064 0.709954110441454 1
"16" 2 0.275576587621851 0.698841485295724 1
"17" 2 0.282455772907233 0.702161963189782 1
"18" 2 0.280818737028292 0.709837074041845 1
"19" 2 0.283440133298268 0.710989039064472 1
"20" 2 0.269187875677796 0.680549058426453 1
"21" 3 0.268999645063352 0.761355907127408 1
"22" 3 0.269005767044567 0.7735863326409 1
"23" 3 0.270438774173527 0.765014828707669 1
"24" 3 0.27096406458417 0.744576574909719 1
"25" 3 0.261185720488509 0.729830414488026 1
"26" 3 0.269721783656549 0.754802224737154 1
"27" 3 0.284124416205227 0.746116875704737 1
"28" 3 0.266996698231846 0.736538888344054 1
"29" 3 0.273614402012769 0.740469083560592 1
"30" 3 0.269530769062098 0.720408221337083 1
"31" 4 0.266668332736082 0.754641471554251 1
"32" 4 0.2760927698041 0.758413168391485 1
"33" 4 0.281483967608621 0.773879146004435 1
"34" 4 0.285770446549189 0.775921051389556 1
"35" 4 0.270166804023361 0.772270868743071 1
"36" 4 0.2632703350612 0.738481823541168 1
"37" 4 0.278802231547376 0.744871338993288 1
"38" 4 0.2722599774294 0.756559611702302 1
"39" 4 0.271297058921637 0.748015204168376 1
"40" 4 0.281007370944018 0.749763493078536 1
"41" 5 0.278915544621914 0.731880176496127 1
"42" 5 0.287841666432786 0.76333939225439 1
"43" 5 0.291862594612498 0.750994061651837 1
"44" 5 0.284158046032175 0.735963273845973 1
"45" 5 0.272677566986075 0.74691133368006 1
"46" 5 0.284473329551999 0.750310566056618 1
"47" 5 0.290854290993423 0.753530878420084 1
"48" 5 0.287911029775516 0.737682481907054 1
"49" 5 0.263715574364216 0.736678086643575 1
"50" 5 0.271498624302586 0.722870300194186 1
"51" 6 0.27950577351991 0.734156413727607 1
"52" 6 0.277320570868897 0.739946803259479 1
"53" 6 0.272713811336757 0.730584562422349 1
"54" 6 0.272016166564843 0.719261488305824 1
"55" 6 0.27997705719071 0.737836394806849 1
"56" 6 0.285807353608452 0.749235532446743 1
"57" 6 0.277746338562464 0.723045064510086 1
"58" 6 0.26590959097678 0.732815303017425 1
"59" 6 0.280357308295605 0.744519952600125 1
"60" 6 0.288937927268555 0.762280722307079 1
"61" 7 0.296904005405625 0.785273240330287 1
"62" 7 0.291652313834481 0.767378310908724 1
"63" 7 0.287339973252163 0.78835963764106 1
"64" 7 0.28924872158069 0.766162215467289 1
"65" 7 0.30260520928342 0.790250565498493 1
"66" 7 0.292257539079811 0.786128462756552 1
"67" 7 0.291604496960762 0.790087561412993 1
"68" 7 0.287545698593757 0.803667957382351 1
"69" 7 0.297504731129527 0.770139362141438 1
"70" 7 0.297765623990293 0.768778012109013 1
"71" 8 0.252757733824996 0.684230179074323 1
"72" 8 0.236229150014908 0.627621475590994 1
"73" 8 0.235514939240786 0.606727498050497 1
"74" 8 0.239075606683381 0.623973127136034 1
"75" 8 0.23796916666659 0.663248496630252 1
"76" 8 0.233395948501257 0.630206535398108 1
"77" 8 0.233394418444056 0.638355203363283 1
"78" 8 0.23861390259175 0.670483419036543 1
"79" 8 0.235238319329408 0.642668685164084 1
"80" 8 0.234669052223811 0.664042524173438 1
"81" 9 0.267819687568418 0.777409815021019 1
"82" 9 0.263530930476518 0.785047195639611 1
"83" 9 0.27075826170169 0.783552645066476 1
"84" 9 0.255017526492412 0.756010140670372 1
"85" 9 0.264487978247488 0.769660997276392 1
"86" 9 0.271134353030754 0.791254505585882 1
"87" 9 0.263418127022432 0.790437144747265 1
"88" 9 0.259183560923238 0.768399576452641 1
"89" 9 0.248481431529472 0.768024054206702 1
"90" 9 0.262671642135056 0.780825434978092 1
"91" 10 0.291572850484815 0.712345354405518 1
"92" 10 0.280371116003898 0.712037072189489 1
"93" 10 0.295908052675232 0.722976766440174 1
"94" 10 0.295205238177091 0.707786548770435 1
"95" 10 0.297380735495865 0.70867921252498 1
"96" 10 0.278172564910595 0.712321041100347 1
"97" 10 0.299045749670426 0.72042775147505 1
"98" 10 0.290661632727369 0.707705021528882 1
"99" 10 0.293977375333272 0.716129497724046 1
"100" 10 0.293343367151203 0.718979855275838 1
"101" 11 0.306307237556701 0.745112242618424 1
"102" 11 0.293476082803274 0.710789035910042 1
"103" 11 0.286427926772991 0.755442590491672 1
"104" 11 0.293306141969352 0.719569045199153 1
"105" 11 0.301290130404594 0.748264956542714 1
"106" 11 0.294569910937753 0.751879336000151 1
"107" 11 0.299011147522469 0.713216023006541 1
"108" 11 0.295872411616814 0.730597416165994 1
"109" 11 0.29135976102338 0.738529315967518 1
"110" 11 0.278867679619209 0.701285190575042 1
"111" 12 0.268131708271088 0.737986088106635 1
"112" 12 0.264002462856728 0.743439113996538 1
"113" 12 0.273560320460663 0.734205795586679 1
"114" 12 0.272406130355207 0.743002305184705 1
"115" 12 0.262614650191689 0.720694766225628 1
"116" 12 0.271903037039802 0.747277579585965 1
"117" 12 0.272526748651701 0.747374080536202 1
"118" 12 0.27368016609234 0.744294661011109 1
"119" 12 0.275713700639619 0.742136596659423 1
"120" 12 0.26294526512387 0.751681630115202 1
"121" 13 0.266675115574219 0.674954399905244 1
"122" 13 0.263233222813622 0.70478279885301 1
"123" 13 0.27079184296528 0.739993172967855 1
"124" 13 0.259210407848376 0.73498887454668 1
"125" 13 0.261648713904014 0.730302272217763 1
"126" 13 0.267899558652093 0.737111412598121 1
"127" 13 0.262047032605623 0.738448263916012 1
"128" 13 0.27494742639981 0.7313737474671 1
"129" 13 0.278742883809382 0.723740559447785 1
"130" 13 0.270030347580104 0.737973635851878 1
