"obj" "X1" "X2"
"1" "E_u" 0.215527611657805 0.700090471091458
"2" "E_u" 0.229799724328144 0.699212384897175
"3" "E_u" 0.220746919193539 0.709358249460764
"4" "E_u" 0.218457385247849 0.700172433162424
"5" "E_u" 0.219167434013654 0.689638210110059
"6" "E_u" 0.215375890598332 0.694920507818986
"7" "E_u" 0.228746706150858 0.707479984671229
"8" "E_u" 0.222164474136571 0.713647459475752
"9" "E_u" 0.222586536375018 0.707501878790524
"10" "E_u" 0.220801257618488 0.715580575131232
"11" "E_s" 0.222365624905003 0.696710438188467
"12" "E_s" 0.224121103469987 0.693339145831602
"13" "E_s" 0.214108778963464 0.700960711461338
"14" "E_s" 0.225180224848862 0.672935751027694
"15" "E_s" 0.220543149767245 0.685159449285083
"16" "E_s" 0.227769092840767 0.717006787063672
"17" "E_s" 0.226592874144068 0.688024436207277
"18" "E_s" 0.213957744724885 0.703820752048518
"19" "E_s" 0.230448289838342 0.716878766046147
"20" "E_s" 0.21783019480388 0.71648002898169
