"obj" "V2" "V3"
"1" 1 0.313070435912805 0.780448454506011
"2" 1 0.304069953840723 0.776337306650442
"3" 1 0.327293639161386 0.793123778683159
"4" 1 0.303737606417338 0.794296741920183
"5" 1 0.319876378795916 0.779195279426271
"6" 1 0.319485898719456 0.792733528416274
"7" 1 0.310717502029356 0.795686935463746
"8" 1 0.311935693737642 0.776884886439714
"9" 1 0.311267965879735 0.794712760812931
"10" 1 0.297946109527576 0.778235475888643
"11" 2 0.282196301041258 0.641991761061825
"12" 2 0.284254502713594 0.656781467556402
"13" 2 0.280430607550995 0.642280036839128
"14" 2 0.278401279434481 0.675964151707607
"15" 2 0.282958747599748 0.664355843688612
"16" 2 0.277686318802527 0.649109820176717
"17" 2 0.274277288995741 0.673029906900835
"18" 2 0.276395613266313 0.656457157622612
"19" 2 0.268123588871556 0.655753024034464
"20" 2 0.275211569632219 0.661535783213477
"21" 3 0.330337952293421 0.767438527042791
"22" 3 0.320437406189785 0.757073046020973
"23" 3 0.332594707395688 0.795594958504521
"24" 3 0.313326975506818 0.771429629451362
"25" 3 0.330515750714328 0.775378982881896
"26" 3 0.321451509128243 0.771821089224059
"27" 3 0.334064112484149 0.809167325173406
"28" 3 0.316149422253795 0.756481130944493
"29" 3 0.334412389940145 0.776862650656045
"30" 3 0.329830151155069 0.787361663299604
"31" 4 0.32113884461186 0.783565972064959
"32" 4 0.324780308961244 0.769476345771179
"33" 4 0.313192245612532 0.774031430809968
"34" 4 0.30637046548085 0.751279951689199
"35" 4 0.31923145527099 0.78867081510421
"36" 4 0.314094026378083 0.788727008340876
"37" 4 0.301960445672398 0.788673521156599
"38" 4 0.313406785245491 0.757417980518674
"39" 4 0.311466374690649 0.78645074015314
"40" 4 0.322897793908684 0.773776838636827
"41" 5 0.323970489258983 0.745183974624716
"42" 5 0.313792232639592 0.702156803025969
"43" 5 0.315570420920412 0.748124887417773
"44" 5 0.336443917896978 0.760576932847955
"45" 5 0.323166133950915 0.738141503684359
"46" 5 0.332776043718576 0.751274542674809
"47" 5 0.332906031349992 0.766550867964944
"48" 5 0.317928318408937 0.739445712241052
"49" 5 0.325804268155761 0.757707229932827
"50" 5 0.323725974410735 0.742203084976942
"51" 6 0.269758656286966 0.699421789259646
"52" 6 0.268813797097008 0.659426961845284
"53" 6 0.268283232985978 0.675174015765163
"54" 6 0.267575680690247 0.631390618415668
"55" 6 0.265952390113677 0.674938158107588
"56" 6 0.250375025678295 0.663727545269871
"57" 6 0.273182094250883 0.685104351601364
"58" 6 0.270720188848678 0.644436483749483
"59" 6 0.270688069837025 0.660367183676531
"60" 6 0.262564644494778 0.663164787278631
"61" 7 0.284580447216694 0.751072586396147
"62" 7 0.28076547867762 0.741206585059757
"63" 7 0.288435928062121 0.763780047407391
"64" 7 0.287107105934147 0.741619971541636
"65" 7 0.288572654416679 0.753161599093368
"66" 7 0.283268370400714 0.752456393094837
"67" 7 0.277635684664795 0.771303659991944
"68" 7 0.276487892126432 0.763803038013718
